job_title,company_name,rating,experience,salary,location,job_description,skills
Full Stack Python Developer,NS Global Corporation,None,5-10 Yrs,Not disclosed,Bengaluru,. Optimizing applications for maximum speed and scalability in the e-commerce contextBa...,"Computer science,Backend,Version control,GIT,PDF,Django,Javascript,E-commerce"
Python Developer,Seaants Technologies,3.5,1-2 Yrs,Not disclosed,Chennai,. Open source technology and tools experts are given preference,"Web application development,Linux,Django,Javascript,google app engine,HTML,Windows,Open source"
Hiring For Experienced Python Developer- @Global !!!,Global Healthcare Billing Partners,3.5,2-4 Yrs,Not disclosed,Chennai(Velachery),Experience : Minimum of 2 years of relevant experience in Python DeveloperRequired Skil...,"Python Developer,Core Python,Automation,Data Manipulation,Web Application,Machine Learning,Machine,Core"
Full Stack Developer - (ReactJS & Python),DIATOZ Solutions,4.3,3-5 Yrs,Not disclosed,Chennai,We are seeking a talented and motivated Full Stack Developer with 3-5 years of experien...,"SQL queries,Backend,Web technologies,Cloud Services,Automation tools,microsoft azure,Troubleshooting,Information technology"
"Principal Data Engineer (Data Pipeline, Python, AWS)",Nielsen Media,3.6,8-12 Yrs,Not disclosed,"Hybrid - Gurugram, Bengaluru, Mumbai (All Areas)","Ideal candidates will have exceptional skills in programming, testing, debugging and pr...","Data Pipeline,AWS,Python,dbt core,Data Lake,airbyte,Core,Data Engineering"
"Python Developer (Airflow , Data Pipeline)",Numeric Technologies India,4.7,6-9 Yrs,Not disclosed,Hybrid - Bengaluru,Looking for Python developers with experience in Data pipelines and Airflow.Location -B...,"Airflow,Data Pipeline,Python Development,ETL Tool,Data,Tools,Python,ETL"
Senior Developer - Python( Bangalore Kolkata- Only F2F Interview),A global business consulting firm ,None,6-11 Yrs,12-22 Lacs PA,"Kolkata, Bengaluru",Minimum of 4 live project roll outs. Experience with third-party libraries and APIs. In...,"Python,Docker. Flask,Django,PostgreSQL,Fast API,Senior,Interviewing,Docker"
Python Developer Programming,Forward Eye Technologies,4.7,6-8 Yrs,Not disclosed,"Mumbai, Delhi / NCR, Bengaluru",The engineer should have minimum of 5 Years of experience consisting of Very good Pytho...,"Networking,Linux,OOPS,Python Programming,Docker,GitHub,JIRA,multithreaded programming"
Python Developer,Leading Client,None,3-8 Yrs,Not disclosed,Chennai,". Bachelors degree in Computer Science, Engineering, or a related field. . years of exp...","Python,css,django,CI/CD,html,flask,mongodb,javascript"
Cognizant Hiring Python Developer For Indore Location!!!,Cognizant,3.8,4-9 Yrs,Not disclosed,Indore,Experience: 3 to 9 years.,"Python Developer,Python,Python Development,Development,Hiring"
