job_title,company_name,rating,experience,salary,location,job_description,skills
Python Software Developer - Chennai,Xoriant,3.9,3-8 Yrs,Not disclosed,Hybrid - Chennai,Educational Qualification: BE / ME/MCA / M TECH with Computer Science Position Descript...,"Linux,Data Structures,OOPS,Python Development,Core Python,Networking Protocols,Algorithms,Object Oriented Programming"
Software Developer - zTools,IBM,4.1,5-10 Yrs,Not disclosed,Bengaluru,2+ years of experience operating kubernetes clusters or RedHat Openshift Platform You w...,"c++,software development,source control management,devops,debugging,kubernetes,continuous integration,python"
Embedded Security / Networking Engineers,Waferspace Semiconductors India,3.9,2-6 Yrs,Not disclosed,Bengaluru,  Desired Skills and Experience-     Excellent in embedded programming skills with C.  ...,"32 bit microcontrollers,Embedded programming,Networking,RF,Configuration management,Debugging,Programming,SVN"
Backend Developer,IBM,4.1,2-7 Yrs,Not disclosed,Bengaluru,Available for on-call shifts during daytime hours and weekendsAll of this will take pla...,"Backend Development,continuous integration,kubernetes,golang,qemu,smb,ci/cd,docker"
Content Creator/Writer,Starclinch,4.5,1-3 Yrs,Not disclosed,New Delhi,"Proven work experience as a Content Creator, Copywriter, or similar roleExperience crea...","Publishing,Networking,Relationship building,Social media,Doctor,Cost,Monitoring,Content creation"
Graphic Designer,Mantras2success Consultants,4.4,No fixed duration,Unpaid,Ahmedabad,,
Embedded Software Engineer  - Ambattur Industrial estate - Chennai,Team Plus Staffing Solution,,3-8 Yrs,8-15 Lacs PA,Chennai(Ambattur Industrial Estate),embedded software for real-time systems using RTOS Microcontrollers. Write and debug co...,"RTOS,C++,Microcontroller,TCP/IP,embedded,Embedded Software,UDP,RS485"
Senior Java Full Stack Developer-Banking,Oracle,3.7,6-8 Yrs,20-27.5 Lacs PA,Remote,Should be familiar with cloud architecture and micro-services development We ensure tha...,"Java,Javascript,HTML,Microservices,SQL,cloud,CSS,JQuery"
Marketing Executive,Natraj Industries,4.3,0-3 Yrs,Not disclosed,"Kolkata, Mumbai, Indore, Hyderabad, Delhi, Pune, Ahmedabad, Chennai, Jaipur, Bengaluru","Young, dynamic graduate experienced for Marketing Executive in manufacturing- oriented ...","Servo,MS Office,Marketing Executive,Plastic injection molding,Marketing,Plastic molding,Moulds,Injection"
Marketing Intern Social Media Content Creator (Live Entertainment),Lamc Productions,,0-1 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru","LAMC Productions is a dynamic and innovative leader in the live entertainment industry,...","digital marketing,adobe creative suitevideo editing,writing,graphic design softwareediting software,content creation,Design,Social media,Software"
Tech Stack(Java developer),Codevian Technologies,4.6,1-3 Yrs,Not disclosed,Gurugram,"  Tech Stack Java, Spring Boot, Micro-services, Docker, AWS. Below are some of the resp...","spring boot,Coding,Debugging,Application development,Troubleshooting,Software solutions,AWS,Technical support"
Test Engineer,Callstreet Global Services,4.3,2-6 Yrs,Not disclosed,Chennai,"Job_Description"":""  A software quality engineer is responsible for designing test scena...","Automation,Test case execution,Manual testing,MIS,Black Box Testing,Test scenarios,Test cases,software quality"
Full stack Java Developer (2-4 Years),Fortune Global 500 Company Engg. & Construction,,2-4 Yrs,Not disclosed,Hybrid - Chennai," Key Responsibilities:Design, develop, and maintain Java-based applications and web ser...","Java,Rest,Postgresql,Javascript,Angular,Web Services,Web technologies,Stack"
V&V Test Engineer,Genpact,3.9,3-8 Yrs,Not disclosed,"Hybrid - Hyderabad, Bengaluru, Delhi / NCR",Genpact (NYSE: G) is a global professional services and solutions firm delivering outco...,"Validation Testing,MICT,Healthcare CSV,Computer System Validation,Gxp,Data validation,Software testing,Csv"
SalesforcePrincipal Backend Developer,Medtronic,4.1,2-4 Yrs,Not disclosed,Pune,"Salesforce Certified Technical Architect,  Salesforce Certified Platform Developer I. S...","salesforce,agilejavascript frameworks,devops,service cloud,marketing cloud,Framework,Backend,Cloud"
Content Creator,Soupherb,,0-3 Yrs,Not disclosed,Mumbai,"  Writing, reviewing, editing, and updating content for company websites, blogs, market...","digital marketing,content editing,photoshop,media,advertising,research,content creation,editing"
Embedded Engineer (Testing & Quality Assurance) RC Labs,RC Labs,4.4,1-6 Yrs,Not disclosed,Bengaluru,  Engage in R&D projects of energy storage and product development.      Plan and carry...,"Embedded C,C++,Embedded systems,Manager Quality Assurance,Debugging,Quality assurance systems,Power electronics,Automotive"
Java Back End Developer,Datayaan,2.5,3-6 Yrs,Not disclosed,Chennai,   We are looking for a highly skilled and experienced Back-End Developer to join our t...,"Product engineering,Front end,RDBMS,Postgresql,Agile,Project planning,MongoDB,Oracle"
Marketing Manager,Bksteel Industries,,10-15 Yrs,Not disclosed,Kolkata,". B2B sales, Institutional Sales, From PSU, SME, OIL GAS . Good Communication","marketing strategies,new business,branding,business development,advertising,marketing management,public relations,sales"
Backend Developer,Trigent Software,3.6,5-9 Yrs,Not disclosed,Bengaluru,"  Experience 5+ Mandatory skill set - Node JS/ NestJS, SQLGood understanding of microse...","Azure,Node.Js,Nestjs,SQL,Development,Microsoft Azure,Backend Development,Backend"
"Data Scientist- Python, AWS, Gen AI",Winning Edge,2.5,8-11 Yrs,Not disclosed,Bengaluru,Overall experience of 8-10 years of experience with 2 years preferred experience in AI ...,"R,Python,Tensorflow,Pytorch,NLP,HuggingFace,AWS,Gen"
Business Development And Marketing Executive,Stellar Organisation,3.2,0-2 Yrs,2.5-5 Lacs PA,"Mumbai, Mumbai (All Areas)",Iram:8169356090 *Graduates & post Graduates  Freshers,"fresher,International Marketing,Business Development,events,management,bmm,branding,bms"
V&V Test Engineer,Genpact,3.9,3-8 Yrs,Not disclosed,"Hybrid - Hyderabad, Bengaluru, Delhi / NCR",Genpact (NYSE: G) is a global professional services and solutions firm delivering outco...,"Validation Testing,MICT,Healthcare CSV,Computer System Validation,Gxp,Data validation,Software testing,Csv"
Senior Python Developer,ContractPod,4.0,4-7 Yrs,Not disclosed,Mumbai,You need to have a strong passion to code and understand the application architecture a...,"Cloud computing,Architecture,Design development,System design,microsoft azure,MongoDB,application architecture,Software solutions"
Embedded Software Engineer,Sprylogic Technologies Ltd,3.0,0-2 Yrs,Not disclosed,Thane,Skill Set RequiredDESCRIPTION :Relevant Experience 0- 2 Years  Experience on 8/ 16/ 32 ...,"Embedded C,interfaces,software,Debugging,Telecommunication,Instrumentation,SPI,Modbus"
Python Developer,Infosys,3.8,3-8 Yrs,Not disclosed,"Hyderabad, Pune, Bengaluru", Job description:Hiring Python Developer with experience range 4 years & aboveMandatory...,"Python,Django,Machine Learning,Flask,Open Systems,Python Development,Open,Development"
Graphic Designer - IIMJobs.com (Rohini),Info Edge,4.0,0-3 Yrs,4-6 Lacs PA,Hybrid - New Delhi(Rohini)," About Info Edge: We are Info Edge, a pioneer in the Indian internet ecosystem. We help...","Motion Graphics,Graphic Designing,Brochures,Banners,Logo Design,Flyers,Graphics,Motion"
Backend Developer,Nao Medical,1.0,0-3 Yrs,Not disclosed,New Delhi,"Bachelor s degree in Computer Science, Information Technology, Engineering, or a relate...","Computer science,Backend,Front end,MySQL,Web development,Javascript,Healthcare,Windows"
Content Creator & Content Manager,WerIndia.com,,1-4 Yrs,Not disclosed,"Mohali, Chandigarh","This is a part-time position, one can work from anywhere - at least 3 hours per day or ...","Sales,Web technologies,Intern,sponsorship sales,Social media,Wordpress,Manager Technology,Appeals"
"Staff Software Engineer I-Python, Microservices, API",Blue Yonder,4.1,9-13 Yrs,Not disclosed,Bengaluru,Bachelor s degree with minimum 9 to 13 years of experience in Software developmentshoul...,"Hibernate,Automation,MS SQL,Usage,GIT,Information security,application architecture,Open source"
Test Engineer,Wipro,3.7,1-5 Yrs,Not disclosed,Chennai,Provide apt solutions and support as per the requirement. Lists the competencies requir...,"test case design,macros,test plans,UAT,GUI automation,Selenium,VB,product testing"
"Sr. Design Engineer-Software(Embedded Electronics),3+ years, Bangalore",Talent Bee Consulting,,3-5 Yrs,8-12 Lacs PA,Bangalore/Bengaluru,"ROLE : Embedded C & C++, Embedded Linux Programming- Yocto pref Exp in dev device level...","Linux Kernel Programming,Yocto,Arm Cortex,embedded electronics,Firmware Development,SOC,Embedded Linux,Kernel"
Software Developer,Timetoschool Educational Services,,1-4 Yrs,Not disclosed,Chennai," Experience: 1-4 Years   Technical Skills: PHP, MYSQL, APACHE, JQUERY, BOOTSTRAP, ANGUL...","jQuery,html5,MySQL,Javascript,PHP,bootstrap,Apache,software development"
Cloud Platform Engineer,Accenture,4.0,2-7 Yrs,Not disclosed,Bengaluru,"Project Role :Cloud Platform EngineerProject Role Description :Designs, builds, tests, ...","python,linux internals,docker,bash,microsoft azure devops,c#,kubernetes,github"
Python Developer,Cognizant,3.8,6-9 Yrs,Not disclosed,"Hybrid - Kolkata, Chennai, Coimbatore",Ex- employee of cognizant(yes / no): . Will be validating the response and proceed it a...,"Python Development,Python,Python Data,Development,Data"
Embedded Engineer,Acclivis Technology,3.7,4-6 Yrs,Not disclosed,Pune,Strong C programming skills and experience with security appliances requiredFamiliarity...,"RTOS,Wireless,Socket programming,Linux,Appliances,HTTP,SDK,WiFi"
Software Developer,Perfect Ergonomics,4.4,3-5 Yrs,Not disclosed,Delhi / NCR,"Ensure the portal functions smoothly, meeting user requirements and delivering a positi...","Struts,Java,Software Development,query optimization,Database Management,data integrity,Management,Optimization"
Graphic Designer,Star Knowledge,4.0,0-3 Yrs,Not disclosed,Mysuru,Actively review website / appperformance \u2013 offer recommendations to the marketing ...,"Graphics,Product quality,Health insurance,Backend,UPS,Research,Management,Digital marketing"
Cloud Platform Engineer,Accenture,4.0,2-7 Yrs,Not disclosed,Bengaluru,"Project Role :Cloud Platform EngineerProject Role Description :Designs, builds, tests, ...","docker,bigquery,microsoft azure,cloud infrastructure,aws,kubernetes,continuous integration,networking"
"Business Development And Marketing Executive (Andheri)
",Millennium Organisation,2.9,0-3 Yrs,3-6 Lacs PA,"Mumbai, Mumbai (All Areas)",Graduate or Postgraduate in any stream  Freshers  Willingness to Learn and Develop,"BBA,Marketing,Sales,Fresher,Interpersonal Skills,Bmm,Promotions,Bhm"
Marketing Executive,Invoscape,,0-1 Yrs,Not disclosed,Chennai,Invoscape is looking for Marketing Executive to join our dynamic team and embark on a r...,"visualforce,branding,sfdc,business development,advertising,triggers,tracking,dashboards"
Java Full Stack Developer,Photon,4.1,6-11 Yrs,Not disclosed,"Pune, Bengaluru","Experience with web application servers like Tomcat, Jetty, JBoss etc. Role: IT & Infor...","Java,Spring Boot,React.Js,React,Angular,Bootstrap,Stack,Boot"
Content Creator / Writer,SafEarth Renewables ,4.8,2-7 Yrs,3.5-6 Lacs PA,"New Delhi(Okhla), Bengaluru(Koramangala), Delhi / NCR",. Bachelors Degree in Mass Communication or relevant field Preferred candidate profile ...,"Content Writing,Content Creation,Blogs,Content Marketing,Articles,Proof Reading,Blog Writing,communications"
Software Development Engineer III,Cradlepoint,3.5,2-5 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",Experience in Dockers / Kubernetes . Experience developing services deployed in cloud-c...,"Wireless,Computer science,Cloud computing,Backend,Coding,WAN,GCP,Internship"
Python Developer - (Women Developers),Leegality,4.2,1-2 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",The ability to leave code in a better position than you found is always good to haveBas...,"Backend,Front end,Web services,TDD,MySQL,Agile,test driven development,MongoDB"
Content Creator / Live Streamer,Project Starscape Pvt Ltd,,0 Yrs,1.25-6 Lacs PA,Remote,No prior experience requiredjust bring your enthusiasm and creativity. . As part of our...,"Creativity,consistency in streaming,time management,audience engagement,adaptability,knowledge of Moj,YouTube,content planning"
DevOps Engineer - Python,Siemens,4.1,2-6 Yrs,Not disclosed,Bengaluru,. - Good at communicating within the team as well as with all the stake holders  Experi...,"DTS,Infrastructure management,devops,Agile,Healthcare,Scrum,Troubleshooting,JIRA"
