job_title,company_name,rating,experience,salary,location,job_description,skills
DevOps Engineer: Universal,IBM,4.1,2-7 Yrs,Not disclosed,"Hyderabad, Bengaluru","Required Technical and Professional Expertise . Identifying, testing and managing risk:...","project management,rpa,software development,devops,aws,continuous integration,kubernetes,python"
Embedded Software Engineer,Amrutha Business Solutions,,2-5 Yrs,Not disclosed,Chennai(Aranvoyal +1),Embedded Software Development in C Use of any RTOS Familiarity with MATLAB & Simulink F...,"RTOS,Embedded C,Simulink,MATLAB,Embedded Software,Adc,Microcontroller,Port"
Java Full Stack Developer,Net2Source,,6-11 Yrs,Not disclosed,"Hybrid - Noida, Chennai, Mumbai (All Areas)", JD and Responsibilities : Java Full stack Developer / Tech Lead / ArchitectSolid exper...,"spring,Angularjs,HTML,Java Fullstack,React.Js,CSS,Fullstack Development,Javascript"
"Product Marketer, NCA (Hybrid Cloud Mesh)",IBM,4.1,3-8 Yrs,Not disclosed,Bengaluru,Experience effectively communicating ideas in writing to different audiences in both lo...,"golang,sales,marketing,product marketing,saas,digital marketing,python,branding"
Cloud Engineer,Kainskep,,0-2 Yrs,Not disclosed,Jaipur,The responsibilities of a Cloud Engineer with 0-2 years of experience may vary dependin...,"container,kubernetes,python,orchestration,microsoft azure,networking,aws cloudformation,azure cloud"
Immediate Opportunity For Executive / SR Executive Marketing!!!,Atria Convergence Technologies (ACT),4.0,1-5 Yrs,1.5-3.25 Lacs PA,Chennai,Hiring for BTL Marketing: Candidates having experience in Field marketing (below the li...,"field marketing,brochures,field marketing officer,sponsorship,btl marketing,field sales marketing,sales operations,event marketing"
Python Developer,Future Focus Infotech,,4-9 Yrs,"50,000-3 Lacs PA",Mumbai(Vikhroli West),Position- Python Pandas DeveloperExperience- 4+yearsLocation- VikhroliNotice period- Im...,"Python,Pandas,Python Development,Development"
Java Full Stack Developer,IT Industry,,5-7 Yrs,Not disclosed,"Mumbai, Delhi / NCR, Bengaluru","Required Skills & Qualifications:Bachelors degree in Technology, Engineering, or a rela...","Java,J2EE,Spring Boot,Angular,Microservices,ReactJS,HTML5,JavaScript"
Marketing Executive,Spider Software,3.0,0-1 Yrs,Not disclosed,Mumbai,Spider Software Pvt Ltd is looking for Marketing Executive to join our dynamic team and...,"visualforce,branding,sfdc,business development,advertising,triggers,tracking,dashboards"
Java Full Stack Developer,Photon,4.1,6-11 Yrs,Not disclosed,"Pune, Bengaluru","Experience with web application servers like Tomcat, Jetty, JBoss etc. Role: IT & Infor...","Java,Spring Boot,React.Js,React,Angular,Bootstrap,Stack,Boot"
Python FastAPI Developer,Stryvai,,2-5 Yrs,Not disclosed,Hyderabad,Python FastAPI Developer Type: Full Time Experience: 2-5 yrs Location: Hyderabad (On Si...,"Backend,Version control,GIT,query optimization,Postgresql,Agile,Database,SQL"
Python Software Developer,Ingenuity Gaming,3.0,6-9 Yrs,Not disclosed,Noida,- Should have Problem Solving and debuggingPreferred candidate profile . - Knowledge of...,"python,Django,OOPS,JSON/XML,JSON / XML,Software,JSON,Development"
Java Full Stack Developer,Client Scape Services India,,4-8 Yrs,6-16 Lacs PA,Hyderabad,Proficiency in Spring Boot and Microservices architectureExperience Required: 4 to 8 ye...,"Java Full Stack Developer,Java Servlets,Java Programming,Full Stack,J2Ee,Java Fullstack,Core Java Programming,Java Frameworks"
Python Developer,Leading Client,,3-8 Yrs,Not disclosed,Hyderabad,". Bachelors degree in Computer Science, Engineering, or a related field. . years of exp...","Python,css,django,CI/CD,html,flask,mongodb,javascript"
Sr. Embedded Engineer,Veetechnologies,3.8,6-8 Yrs,Not disclosed,Bengaluru,Experience: 6-8 years,"Post production,Embedded systems,Production support,Operating systems,Coding,Analytical,Hardware design,Hardware"
Sales and Marketing Executive(Walk in interview),Wyzmindz Solutions,3.4,0-2 Yrs,2.5-4.25 Lacs PA,Noida,"Bachelors degree in Sales, Marketing, Business Administration, or related fieldOnly can...","Sales,Marketing,Interviewing"
Python developer,Nokia,4.2,2-7 Yrs,Not disclosed,Bengaluru,"Key competences: Advanced Python coding knowledge (min. 2+ yrs), Pyspark experienceProf...","python,microsoft azure,pandas,sql azure,matplotlib,c#,c++,data manipulation"
Senior Java Developer,Xduce Technologies,3.2,8-13 Yrs,Not disclosed,Ahmedabad,"Familiarity with Mulesoft is preferred . Key Responsibilities: . Design, develop, and m...","spring boot,Healthcare,Data processing,MongoDB,Test cases,Unit testing,Oracle,Object oriented programming"
Customer Success Engineer - Embedded Linux,"Qualcomm Technologies, Inc",3.9,1-6 Yrs,Not disclosed,Hyderabad,"  To accomplish this, we use industry standards, open-source technologies, and a new bu...","Computer science,Staffing,Linux kernel,Embedded Linux,Video conferencing,Account management,Open source,Technical support"
Branding And Marketing Executive,Ktiwa Services,,2-5 Yrs,4.8-7.2 Lacs PA,Hyderabad(Gachibowli),Responsibilities:* Develop brand strategy & execute marketing campaigns.* Collaborate w...,"Corporate Communication,Branding,English,Marketing Campaigns,Marketing Communication,Campaigns,Corporate,Communication skills"
Senior Software Specialist-Java,PTC,4.2,2-5 Yrs,Not disclosed,Pune,"Bachelor s / Master s degree in Computer Science, Computer Engineering, Information tec...","server,continuous integration,cd,software development,analytical,software,information technology,unit testing"
Cloud Engineer - C,Capgemini,3.8,3-6 Yrs,Not disclosed,Mumbai,"Managing a dynamically scalable, available, faulttolerant, and reliable applications on...","Cloud Engineering,kubernetes,continuous integration,python,vmware,microsoft azure,cloud platforms,networking"
Embedded Engineer,Embin Technologies,,2-4 Yrs,Not disclosed,Mumbai,Embin Technologies Private Limited is looking for Embedded Engineer to join our dynamic...,"board support package,adc,c++,software development,c,usb,software design,device drivers"
Marketing Executives,Ramaiah Memorial Hospital,3.9,0-3 Yrs,Not disclosed,Bengaluru,Ramaiah Memorial Hospital is looking for Marketing Executives to join our dynamic team ...,"digital,digital marketing,digital content,marketing strategies,branding,business development,media,flyers"
Python Developer - GenAI Expertise,JK Technosoft,3.7,5-7 Yrs,Not disclosed,Bengaluru,"Skills Required: . Bachelors Degree in Statistics, Applied Mathematics, Computer Scienc...","Python,GenAI,object-oriented programming,NLP,PyTorch,ChatGPT,HuggingFace,Large Language Models"
